PolicyNumber,LineOfBusiness,PolicyStatus,EffectiveDate,ExpirationDate,State,ClassCode,WrittenPremium,InsuredName,AgencyCode,UnderwriterID,RenewalCount
KM-POL-000504,GL,In Force,2021-01-13,2022-01-13,MD,58483,3985.21,Insured A-504,AG015,UW103,3
KM-POL-000505,CA,Cancelled,2022-12-22,2023-12-22,PA,7210,6148.78,Insured A-505,AG005,UW102,3
KM-POL-000506,WC,In Force,2022-09-04,2023-09-04,PA,7380,12706.93,Insured A-506,AG005,UW102,5
KM-POL-000507,GL,In Force,2023-03-10,2024-03-09,OH,97047,15289.39,Insured A-507,AG012,UW103,0
KM-POL-000508,GL,In Force,2023-05-09,2024-05-08,NJ,41677,2750.37,Insured A-508,AG005,UW103,1
KM-POL-000509,GL,Expired,2022-03-28,2023-03-28,OH,91580,11069.69,Insured A-509,AG001,UW102,1
KM-POL-000510,CA,In Force,2023-09-27,2024-09-26,OH,7210,7004.12,Insured A-510,AG001,UW104,0
KM-POL-000511,CA,Expired,2022-03-26,2023-03-26,PA,7220,4512.98,Insured A-511,AG004,UW102,4
KM-POL-000512,WC,Cancelled,2022-07-13,2023-07-13,OH,8017,12977.21,Insured A-512,AG005,UW104,5
KM-POL-000513,GL,Cancelled,2023-06-12,2024-06-11,NJ,97047,13638.07,Insured A-513,AG002,UW104,0
KM-POL-000514,GL,In Force,2023-09-22,2024-09-21,DE,58483,12217.45,Insured A-514,AG004,UW104,0
KM-POL-000515,WC,Expired,2021-03-01,2022-03-01,NY,5191,3966.28,Insured A-515,AG012,UW103,1
KM-POL-000516,WC,Expired,2023-03-08,2024-03-07,MD,8017,19074.86,Insured A-516,AG005,UW102,3
KM-POL-000517,WC,In Force,2022-11-20,2023-11-20,PA,8742,9397.97,Insured A-517,AG001,UW102,1
KM-POL-000518,GL,Expired,2023-04-09,2024-04-08,NJ,91580,6981.45,Insured A-518,AG002,UW101,0
KM-POL-000519,GL,In Force,2021-12-05,2022-12-05,NY,91580,6983.03,Insured A-519,AG004,UW103,0
KM-POL-000520,WC,In Force,2023-08-16,2024-08-15,NY,8810,8776.26,Insured A-520,AG002,UW101,1
KM-POL-000521,CA,In Force,2021-09-19,2022-09-19,NY,7210,10046.95,Insured A-521,AG005,UW101,4
KM-POL-000522,WC,In Force,2023-12-30,2024-12-29,PA,9015,9255.98,Insured A-522,AG003,UW104,1
KM-POL-000523,GL,In Force,2021-02-25,2022-02-25,PA,91580,3030.0,Insured A-523,AG002,UW103,1
KM-POL-000524,GL,In Force,2023-03-18,2024-03-17,NJ,91580,5036.81,Insured A-524,AG002,UW101,0
KM-POL-000525,GL,Expired,2021-02-25,2022-02-25,OH,91580,7518.23,Insured A-525,AG012,UW102,1
KM-POL-000526,CA,In Force,2021-06-21,2022-06-21,PA,7219,10275.61,Insured A-526,AG001,UW101,2
KM-POL-000527,WC,In Force,2023-05-28,2024-05-27,PA,7380,16034.14,Insured A-527,AG005,UW103,1
KM-POL-000528,WC,In Force,2021-10-05,2022-10-05,MD,5191,5011.91,Insured A-528,AG002,UW102,1
KM-POL-000529,WC,Expired,2023-08-04,2024-08-03,PA,8017,72269.1,Insured A-529,AG005,UW102,3
KM-POL-000530,GL,Expired,2022-01-08,2023-01-08,MD,41677,7985.18,Insured A-530,AG001,UW102,0
KM-POL-000531,GL,Expired,2021-04-13,2022-04-13,NY,41677,16200.11,Insured A-531,AG012,UW104,2
KM-POL-000532,GL,Expired,2022-06-17,2023-06-17,OH,58483,5965.81,Insured A-532,AG005,UW102,1
KM-POL-000533,GL,In Force,2023-02-16,2024-02-16,PA,97047,9636.87,Insured A-533,AG015,UW104,1
KM-POL-000534,CA,Expired,2022-11-02,2023-11-02,PA,7220,8132.97,Insured A-534,AG001,UW104,2
KM-POL-000535,CA,In Force,2022-03-10,2023-03-10,NY,7219,10207.9,Insured A-535,AG001,UW101,3
KM-POL-000536,GL,In Force,2023-07-21,2024-07-20,OH,91580,13907.14,Insured A-536,AG004,UW101,2
KM-POL-000537,GL,Expired,2022-11-01,2023-11-01,NY,97047,12216.44,Insured A-537,AG012,UW102,0
KM-POL-000538,WC,In Force,2022-11-23,2023-11-23,PA,7380,7691.96,Insured A-538,AG012,UW103,1
KM-POL-000539,CA,Expired,2023-02-16,2024-02-16,NY,7210,3487.54,Insured A-539,AG015,UW102,1
KM-POL-000540,WC,Expired,2022-07-24,2023-07-24,NY,8810,12914.24,Insured A-540,AG005,UW101,2
KM-POL-000541,GL,In Force,2023-05-14,2024-05-13,NY,41677,12748.76,Insured A-541,AG003,UW102,2
KM-POL-000542,CA,In Force,2022-06-01,2023-06-01,NY,7219,4299.99,Insured A-542,AG015,UW101,0
KM-POL-000543,WC,In Force,2021-06-17,2022-06-17,OH,5191,23205.34,Insured A-543,AG004,UW102,2
KM-POL-000544,CA,Cancelled,2023-08-22,2024-08-21,NY,7220,11749.55,Insured A-544,AG012,UW103,2
KM-POL-000545,CA,Expired,2021-02-09,2022-02-09,PA,7220,2836.16,Insured A-545,AG001,UW102,1
KM-POL-000546,WC,In Force,2021-04-17,2022-04-17,NJ,5183,5066.79,Insured A-546,AG012,UW103,2
KM-POL-000547,WC,In Force,2022-12-18,2023-12-18,PA,5191,8845.82,Insured A-547,AG015,UW103,0
KM-POL-000548,CA,Expired,2022-04-05,2023-04-05,NJ,7210,5910.98,Insured A-548,AG003,UW102,1
KM-POL-000549,CA,Expired,2021-05-21,2022-05-21,NJ,7210,3587.68,Insured A-549,AG002,UW103,5
KM-POL-000550,CA,In Force,2021-03-24,2022-03-24,PA,7220,11062.56,Insured A-550,AG002,UW103,1
KM-POL-000551,CA,In Force,2021-03-05,2022-03-05,NJ,7230,6338.77,Insured A-551,AG012,UW101,1
KM-POL-000552,GL,Expired,2022-05-22,2023-05-22,PA,41677,6819.99,Insured A-552,AG012,UW101,2
KM-POL-000553,CA,In Force,2022-02-13,2023-02-13,OH,7210,2076.53,Insured A-553,AG004,UW103,5
KM-POL-000554,CA,In Force,2021-02-11,2022-02-11,MD,7219,2231.68,Insured A-554,AG012,UW104,5
KM-POL-000555,GL,Cancelled,2021-11-09,2022-11-09,PA,97047,8076.44,Insured A-555,AG003,UW102,2
KM-POL-000556,WC,Expired,2022-05-04,2023-05-04,MD,5183,1797.09,Insured A-556,AG012,UW103,0
KM-POL-000557,WC,In Force,2021-09-16,2022-09-16,DE,8810,22250.28,Insured A-557,AG005,UW102,4
KM-POL-000558,WC,In Force,2023-08-28,2024-08-27,PA,8810,8720.89,Insured A-558,AG015,UW101,2
KM-POL-000559,CA,In Force,2021-08-23,2022-08-23,PA,7220,34401.51,Insured A-559,AG003,UW102,1
KM-POL-000560,CA,In Force,2022-03-23,2023-03-23,DE,7230,19628.73,Insured A-560,AG004,UW103,3
KM-POL-000561,CA,Expired,2023-08-11,2024-08-10,NY,7230,4407.8,Insured A-561,AG005,UW103,1
KM-POL-000562,WC,In Force,2022-06-09,2023-06-09,NY,5191,9090.0,Insured A-562,AG005,UW103,0
KM-POL-000563,WC,Expired,2023-01-26,2024-01-26,PA,5183,21948.74,Insured A-563,AG015,UW103,3
KM-POL-000564,WC,Cancelled,2021-12-10,2022-12-10,PA,7380,38659.12,Insured A-564,AG002,UW104,2
KM-POL-000565,WC,In Force,2021-08-23,2022-08-23,NJ,8742,2669.31,Insured A-565,AG003,UW104,1
KM-POL-000566,CA,In Force,2021-12-02,2022-12-02,PA,7210,1682.73,Insured A-566,AG015,UW104,1
KM-POL-000567,WC,In Force,2022-09-30,2023-09-30,PA,5191,6017.17,Insured A-567,AG005,UW103,2
KM-POL-000568,WC,Cancelled,2021-08-10,2022-08-10,PA,5183,15775.13,Insured A-568,AG004,UW104,0
KM-POL-000569,GL,Expired,2021-02-22,2022-02-22,OH,41677,9393.86,Insured A-569,AG015,UW102,1
KM-POL-000570,WC,In Force,2022-10-01,2023-10-01,MD,5183,23290.88,Insured A-570,AG002,UW103,2
KM-POL-000571,CA,Expired,2023-02-08,2024-02-08,NJ,7210,2392.71,Insured A-571,AG005,UW101,4
KM-POL-000572,CA,Expired,2023-03-24,2024-03-23,MD,7230,1224.53,Insured A-572,AG015,UW103,2
KM-POL-000573,WC,Cancelled,2022-02-11,2023-02-11,NJ,8810,19661.38,Insured A-573,AG003,UW102,3
KM-POL-000574,CA,In Force,2021-06-05,2022-06-05,NJ,7230,2990.16,Insured A-574,AG002,UW104,3
KM-POL-000575,GL,In Force,2022-05-13,2023-05-13,PA,41677,1614.95,Insured A-575,AG003,UW103,2
KM-POL-000576,GL,Expired,2021-07-28,2022-07-28,NY,41677,7343.31,Insured A-576,AG003,UW104,0
KM-POL-000577,WC,In Force,2022-09-10,2023-09-10,MD,8810,18667.52,Insured A-577,AG003,UW103,4
KM-POL-000578,GL,In Force,2021-09-05,2022-09-05,NY,97047,6090.95,Insured A-578,AG015,UW102,1
KM-POL-000579,CA,In Force,2021-03-26,2022-03-26,NJ,7219,3734.21,Insured A-579,AG002,UW103,0
KM-POL-000580,WC,In Force,2022-12-13,2023-12-13,NY,8017,8712.47,Insured A-580,AG015,UW104,0
KM-POL-000581,CA,In Force,2023-12-28,2024-12-27,PA,7220,3934.94,Insured A-581,AG015,UW104,3
KM-POL-000582,GL,Cancelled,2023-05-28,2024-05-27,OH,58483,2582.12,Insured A-582,AG015,UW102,0
KM-POL-000583,CA,In Force,2023-01-29,2024-01-29,DE,7220,3200.91,Insured A-583,AG005,UW103,0
KM-POL-000584,WC,In Force,2021-05-22,2022-05-22,NJ,9015,15018.29,Insured A-584,AG012,UW101,2
KM-POL-000585,CA,Expired,2023-11-03,2024-11-02,DE,7220,5961.08,Insured A-585,AG001,UW103,4
KM-POL-000586,WC,In Force,2022-11-30,2023-11-30,NY,5191,11321.38,Insured A-586,AG005,UW102,2
KM-POL-000587,WC,In Force,2021-01-26,2022-01-26,PA,9015,4464.36,Insured A-587,AG002,UW101,0
KM-POL-000588,WC,Expired,2023-05-11,2024-05-10,NY,5183,8559.5,Insured A-588,AG001,UW102,0
KM-POL-000589,WC,Expired,2023-10-01,2024-09-30,PA,5183,1734.28,Insured A-589,AG001,UW103,2
KM-POL-000590,WC,Expired,2021-08-05,2022-08-05,NY,8742,11416.12,Insured A-590,AG001,UW101,0
KM-POL-000591,WC,Expired,2023-06-07,2024-06-06,OH,7380,31041.68,Insured A-591,AG012,UW102,2
KM-POL-000592,CA,In Force,2023-01-12,2024-01-12,OH,7210,2029.45,Insured A-592,AG015,UW104,0
KM-POL-000593,WC,Cancelled,2023-07-31,2024-07-30,DE,8017,6193.51,Insured A-593,AG004,UW101,4
KM-POL-000594,WC,In Force,2021-11-10,2022-11-10,DE,8742,12878.13,Insured A-594,AG002,UW101,1
KM-POL-000595,GL,Expired,2023-06-11,2024-06-10,PA,58483,15946.42,Insured A-595,AG012,UW102,0
KM-POL-000596,CA,In Force,2021-12-27,2022-12-27,NY,7210,3755.83,Insured A-596,AG012,UW104,4
KM-POL-000597,CA,Cancelled,2023-12-05,2024-12-04,PA,7210,3244.28,Insured A-597,AG004,UW101,1
KM-POL-000598,WC,Expired,2022-07-08,2023-07-08,NJ,8810,2048.5,Insured A-598,AG001,UW102,1
KM-POL-000599,WC,Expired,2023-09-18,2024-09-17,PA,8017,10750.96,Insured A-599,AG015,UW101,3
KM-POL-000600,WC,In Force,2023-08-11,2024-08-10,PA,9015,50698.97,Insured A-600,AG004,UW101,1
KM-POL-000601,WC,In Force,2023-06-12,2024-06-11,NY,8742,12355.87,Insured A-601,AG004,UW101,1
KM-POL-000602,WC,Expired,2022-07-04,2023-07-04,PA,5183,9722.29,Insured A-602,AG012,UW104,1
KM-POL-000603,WC,Expired,2022-10-23,2023-10-23,NY,9015,12805.96,Insured A-603,AG002,UW103,0
KM-POL-000604,WC,In Force,2022-05-18,2023-05-18,NJ,5183,9809.69,Insured A-604,AG003,UW103,0
KM-POL-000605,WC,Cancelled,2021-06-27,2022-06-27,PA,5183,5164.63,Insured A-605,AG015,UW104,3
KM-POL-000606,CA,Expired,2022-07-26,2023-07-26,DE,7219,8054.35,Insured A-606,AG004,UW104,2
KM-POL-000607,WC,In Force,2023-07-13,2024-07-12,PA,8017,11856.24,Insured A-607,AG015,UW102,1
KM-POL-000608,WC,Expired,2022-05-15,2023-05-15,PA,8742,10037.57,Insured A-608,AG004,UW101,1
KM-POL-000609,CA,In Force,2023-08-10,2024-08-09,NY,7220,2737.45,Insured A-609,AG001,UW104,4
KM-POL-000610,CA,In Force,2023-02-16,2024-02-16,PA,7230,10744.02,Insured A-610,AG015,UW102,5
KM-POL-000611,WC,In Force,2022-11-20,2023-11-20,OH,7380,16844.21,Insured A-611,AG001,UW103,1
KM-POL-000612,CA,Expired,2021-02-28,2022-02-28,PA,7219,3527.16,Insured A-612,AG012,UW103,3
KM-POL-000613,CA,Expired,2023-10-10,2024-10-09,PA,7219,8965.1,Insured A-613,AG001,UW103,3
KM-POL-000614,WC,In Force,2022-10-28,2023-10-28,NY,7380,6647.15,Insured A-614,AG015,UW103,1
KM-POL-000615,GL,Expired,2022-01-08,2023-01-08,NJ,58483,3837.58,Insured A-615,AG005,UW102,0
KM-POL-000616,GL,Expired,2023-09-26,2024-09-25,PA,97047,3897.96,Insured A-616,AG015,UW101,0
KM-POL-000617,WC,Expired,2022-03-11,2023-03-11,NJ,5191,2399.81,Insured A-617,AG004,UW102,3
KM-POL-000618,WC,In Force,2022-12-28,2023-12-28,PA,8742,14432.44,Insured A-618,AG001,UW101,3
KM-POL-000619,GL,Expired,2022-06-14,2023-06-14,OH,91580,1841.25,Insured A-619,AG002,UW103,2
KM-POL-000620,CA,In Force,2022-11-29,2023-11-29,NJ,7219,2351.79,Insured A-620,AG005,UW104,0
KM-POL-000621,WC,In Force,2022-07-27,2023-07-27,NY,5191,1880.95,Insured A-621,AG012,UW104,2
KM-POL-000622,WC,In Force,2022-07-20,2023-07-20,OH,8017,9238.59,Insured A-622,AG003,UW104,3
KM-POL-000623,WC,In Force,2021-01-21,2022-01-21,NJ,7380,8775.72,Insured A-623,AG004,UW101,4
KM-POL-000624,CA,Expired,2023-11-25,2024-11-24,MD,7210,4039.93,Insured A-624,AG004,UW103,0
KM-POL-000625,CA,In Force,2022-01-27,2023-01-27,NJ,7230,2629.25,Insured A-625,AG002,UW102,2
KM-POL-000626,WC,Expired,2021-06-25,2022-06-25,MD,9015,3874.66,Insured A-626,AG003,UW104,0
KM-POL-000627,CA,In Force,2022-05-10,2023-05-10,PA,7210,6493.92,Insured A-627,AG003,UW101,3
KM-POL-000628,CA,In Force,2023-04-13,2024-04-12,NY,7210,3532.17,Insured A-628,AG012,UW104,2
KM-POL-000629,WC,Cancelled,2023-09-28,2024-09-27,NJ,9015,12747.45,Insured A-629,AG012,UW102,0
KM-POL-000630,WC,Expired,2022-05-08,2023-05-08,NJ,8810,4874.64,Insured A-630,AG005,UW103,3
KM-POL-000631,CA,In Force,2023-09-03,2024-09-02,NY,7230,5478.78,Insured A-631,AG004,UW102,0
KM-POL-000632,GL,In Force,2023-10-03,2024-10-02,NY,97047,16519.46,Insured A-632,AG001,UW103,3
KM-POL-000633,CA,In Force,2023-07-07,2024-07-06,PA,7210,6986.25,Insured A-633,AG012,UW103,1
KM-POL-000634,CA,In Force,2021-02-05,2022-02-05,PA,7220,3837.41,Insured A-634,AG002,UW103,2
KM-POL-000635,WC,Expired,2021-07-10,2022-07-10,NY,7380,12158.2,Insured A-635,AG002,UW104,4
KM-POL-000636,WC,Expired,2022-08-26,2023-08-26,NY,8017,8163.82,Insured A-636,AG002,UW102,1
KM-POL-000637,CA,In Force,2022-03-30,2023-03-30,MD,7230,4938.06,Insured A-637,AG015,UW104,2
KM-POL-000638,WC,Cancelled,2023-04-09,2024-04-08,NY,9015,7627.47,Insured A-638,AG012,UW102,1
KM-POL-000639,WC,Expired,2022-05-14,2023-05-14,MD,9015,8677.87,Insured A-639,AG012,UW101,0
KM-POL-000640,WC,In Force,2022-09-20,2023-09-20,NY,8810,11727.3,Insured A-640,AG002,UW101,2
KM-POL-000641,WC,In Force,2023-01-26,2024-01-26,PA,8017,4470.76,Insured A-641,AG012,UW102,3
KM-POL-000642,WC,Expired,2023-08-28,2024-08-27,PA,8742,4390.93,Insured A-642,AG015,UW102,4
KM-POL-000643,WC,Expired,2023-12-24,2024-12-23,NY,5191,3258.97,Insured A-643,AG001,UW102,4
KM-POL-000644,WC,In Force,2022-12-06,2023-12-06,NY,8810,2751.17,Insured A-644,AG001,UW102,2
KM-POL-000645,WC,In Force,2023-05-22,2024-05-21,PA,8742,3737.51,Insured A-645,AG005,UW103,3
KM-POL-000646,GL,In Force,2022-11-09,2023-11-09,NJ,97047,7417.7,Insured A-646,AG004,UW104,3
KM-POL-000647,CA,Expired,2022-12-22,2023-12-22,MD,7219,2876.49,Insured A-647,AG001,UW103,1
KM-POL-000648,CA,In Force,2023-07-19,2024-07-18,DE,7220,6688.66,Insured A-648,AG005,UW104,0
KM-POL-000649,CA,In Force,2022-07-09,2023-07-09,NJ,7230,5018.21,Insured A-649,AG003,UW104,1
KM-POL-000650,CA,Expired,2022-09-20,2023-09-20,NJ,7220,1508.54,Insured A-650,AG004,UW104,3
KM-POL-000651,WC,Cancelled,2022-05-30,2023-05-30,PA,9015,16713.64,Insured A-651,AG001,UW103,2
KM-POL-000652,CA,Cancelled,2022-04-18,2023-04-18,NJ,7210,7994.26,Insured A-652,AG015,UW102,3
KM-POL-000653,CA,In Force,2021-09-05,2022-09-05,NJ,7210,2707.23,Insured A-653,AG003,UW103,0
KM-POL-000654,CA,In Force,2022-01-30,2023-01-30,PA,7220,6324.05,Insured A-654,AG005,UW103,5
KM-POL-000655,WC,In Force,2022-10-09,2023-10-09,NY,9015,4988.06,Insured A-655,AG001,UW104,1
KM-POL-000656,WC,In Force,2021-09-02,2022-09-02,NJ,5183,10701.47,Insured A-656,AG001,UW101,2
KM-POL-000657,WC,Cancelled,2022-01-15,2023-01-15,OH,5183,3598.96,Insured A-657,AG012,UW101,0
KM-POL-000658,WC,In Force,2022-01-28,2023-01-28,OH,8742,2357.87,Insured A-658,AG003,UW103,0
KM-POL-000659,CA,In Force,2022-03-20,2023-03-20,PA,7210,3906.16,Insured A-659,AG001,UW104,3
KM-POL-000660,CA,In Force,2023-09-19,2024-09-18,NY,7220,4563.12,Insured A-660,AG002,UW103,5
KM-POL-000661,WC,In Force,2022-07-21,2023-07-21,NJ,9015,7200.14,Insured A-661,AG015,UW103,1
KM-POL-000662,GL,Expired,2023-12-11,2024-12-10,OH,58483,2896.27,Insured A-662,AG012,UW102,0
KM-POL-000663,CA,In Force,2022-08-03,2023-08-03,PA,7210,3866.33,Insured A-663,AG012,UW104,1
KM-POL-000664,WC,In Force,2021-07-25,2022-07-25,NY,5191,12276.42,Insured A-664,AG001,UW101,0
KM-POL-000665,WC,In Force,2022-02-02,2023-02-02,NY,8742,9547.99,Insured A-665,AG015,UW101,0
KM-POL-000666,WC,In Force,2022-08-30,2023-08-30,PA,8742,11452.93,Insured A-666,AG012,UW101,3
KM-POL-000667,WC,In Force,2022-04-11,2023-04-11,PA,5191,5790.12,Insured A-667,AG004,UW103,4
KM-POL-000668,WC,Expired,2023-01-10,2024-01-10,NY,7380,25270.03,Insured A-668,AG003,UW104,0
KM-POL-000669,WC,Expired,2022-01-03,2023-01-03,NY,5183,3862.47,Insured A-669,AG004,UW102,2
KM-POL-000670,WC,Expired,2022-09-12,2023-09-12,NJ,9015,14618.57,Insured A-670,AG005,UW101,1
KM-POL-000671,WC,Cancelled,2021-01-29,2022-01-29,NY,8810,25476.53,Insured A-671,AG004,UW104,0
KM-POL-000672,GL,Cancelled,2023-12-30,2024-12-29,NJ,97047,9289.46,Insured A-672,AG015,UW101,0
KM-POL-000673,WC,Cancelled,2021-09-17,2022-09-17,NY,8810,8416.76,Insured A-673,AG002,UW102,2
KM-POL-000674,CA,In Force,2022-07-16,2023-07-16,PA,7210,3579.66,Insured A-674,AG012,UW104,0
KM-POL-000675,WC,In Force,2021-04-04,2022-04-04,OH,8742,22671.64,Insured A-675,AG015,UW103,1
KM-POL-000676,GL,In Force,2021-04-22,2022-04-22,PA,58483,2450.18,Insured A-676,AG012,UW103,0
KM-POL-000677,WC,Expired,2022-08-22,2023-08-22,NJ,7380,4554.63,Insured A-677,AG002,UW101,1
KM-POL-000678,WC,Cancelled,2021-09-16,2022-09-16,PA,5183,7200.85,Insured A-678,AG012,UW101,0
KM-POL-000679,GL,Expired,2023-10-03,2024-10-02,PA,91580,15777.78,Insured A-679,AG004,UW104,4
KM-POL-000680,GL,In Force,2021-07-30,2022-07-30,DE,91580,8654.52,Insured A-680,AG005,UW102,3
KM-POL-000681,GL,Cancelled,2021-01-26,2022-01-26,PA,91580,3368.99,Insured A-681,AG001,UW101,4
KM-POL-000682,WC,In Force,2022-08-06,2023-08-06,OH,5183,7721.42,Insured A-682,AG002,UW104,1
KM-POL-000683,WC,In Force,2023-08-20,2024-08-19,PA,8017,6054.41,Insured A-683,AG004,UW102,1
KM-POL-000684,CA,In Force,2023-09-08,2024-09-07,NJ,7210,3210.32,Insured A-684,AG015,UW101,1
KM-POL-000685,GL,In Force,2023-06-22,2024-06-21,NJ,91580,13163.76,Insured A-685,AG004,UW101,0
KM-POL-000686,CA,In Force,2022-11-29,2023-11-29,PA,7220,2158.04,Insured A-686,AG004,UW104,3
KM-POL-000687,CA,In Force,2022-01-13,2023-01-13,PA,7219,12903.69,Insured A-687,AG001,UW101,1
KM-POL-000688,WC,In Force,2021-04-16,2022-04-16,NJ,9015,19198.43,Insured A-688,AG003,UW103,1
KM-POL-000689,CA,Expired,2022-06-02,2023-06-02,NJ,7219,9457.06,Insured A-689,AG012,UW102,2
KM-POL-000690,WC,Expired,2023-09-06,2024-09-05,NJ,7380,6833.88,Insured A-690,AG012,UW102,1
KM-POL-000691,WC,Expired,2021-08-22,2022-08-22,DE,7380,8778.38,Insured A-691,AG015,UW103,5
KM-POL-000692,WC,In Force,2021-05-14,2022-05-14,DE,8742,3144.72,Insured A-692,AG005,UW104,1
KM-POL-000693,CA,Expired,2023-04-01,2024-03-31,PA,7230,3587.47,Insured A-693,AG015,UW103,2
KM-POL-000694,WC,Cancelled,2023-10-05,2024-10-04,NJ,8810,14690.02,Insured A-694,AG003,UW103,1
KM-POL-000695,WC,In Force,2021-06-01,2022-06-01,MD,5191,27913.07,Insured A-695,AG012,UW102,5
KM-POL-000696,CA,In Force,2021-04-20,2022-04-20,DE,7220,2529.32,Insured A-696,AG005,UW104,1
KM-POL-000697,WC,In Force,2021-11-07,2022-11-07,NY,9015,7387.87,Insured A-697,AG015,UW101,2
KM-POL-000698,CA,In Force,2021-11-02,2022-11-02,NJ,7230,4488.26,Insured A-698,AG005,UW103,0
KM-POL-000699,WC,Expired,2022-09-15,2023-09-15,NY,8742,3240.13,Insured A-699,AG004,UW103,3
KM-POL-000700,CA,Expired,2021-06-24,2022-06-24,NY,7210,7008.01,Insured A-700,AG002,UW104,1
KM-POL-000701,CA,In Force,2022-05-24,2023-05-24,DE,7210,3183.08,Insured A-701,AG004,UW103,1
KM-POL-000702,WC,Expired,2021-08-31,2022-08-31,MD,9015,8464.94,Insured A-702,AG001,UW104,4
KM-POL-000703,WC,Expired,2023-05-03,2024-05-02,PA,9015,6894.23,Insured A-703,AG012,UW101,5
KM-POL-000704,WC,Cancelled,2022-04-08,2023-04-08,PA,8810,5263.38,Insured A-704,AG005,UW104,1
KM-POL-000705,WC,In Force,2023-12-07,2024-12-06,NY,9015,9841.51,Insured A-705,AG015,UW101,3
KM-POL-000706,GL,Cancelled,2023-02-19,2024-02-19,OH,41677,5704.86,Insured A-706,AG002,UW104,0
KM-POL-000707,WC,In Force,2023-07-12,2024-07-11,PA,5191,7350.43,Insured A-707,AG015,UW103,3
KM-POL-000708,GL,Expired,2023-06-26,2024-06-25,PA,97047,3984.14,Insured A-708,AG012,UW101,2
KM-POL-000709,WC,In Force,2022-09-01,2023-09-01,PA,9015,12779.78,Insured A-709,AG005,UW103,1
KM-POL-000710,CA,In Force,2023-05-29,2024-05-28,PA,7219,13255.53,Insured A-710,AG005,UW101,4
KM-POL-000711,CA,Expired,2022-09-18,2023-09-18,NY,7210,5345.08,Insured A-711,AG004,UW104,3
KM-POL-000712,CA,In Force,2021-05-04,2022-05-04,DE,7220,8934.46,Insured A-712,AG002,UW104,1
KM-POL-000713,CA,In Force,2021-07-23,2022-07-23,NJ,7210,2134.24,Insured A-713,AG002,UW104,3
KM-POL-000714,WC,In Force,2022-03-02,2023-03-02,NJ,8810,11228.49,Insured A-714,AG012,UW102,0
KM-POL-000715,WC,Expired,2022-03-09,2023-03-09,PA,8017,4113.81,Insured A-715,AG005,UW102,3
KM-POL-000716,GL,In Force,2022-06-26,2023-06-26,PA,58483,2359.38,Insured A-716,AG002,UW101,2
KM-POL-000717,GL,Expired,2021-06-16,2022-06-16,NY,97047,3953.83,Insured A-717,AG002,UW102,0
KM-POL-000718,GL,In Force,2021-11-18,2022-11-18,MD,41677,15280.45,Insured A-718,AG015,UW104,2
KM-POL-000719,WC,In Force,2022-05-07,2023-05-07,OH,5183,21163.06,Insured A-719,AG012,UW102,2
KM-POL-000720,CA,In Force,2021-12-22,2022-12-22,PA,7230,5686.23,Insured A-720,AG004,UW102,2
KM-POL-000721,GL,In Force,2021-06-03,2022-06-03,OH,97047,2269.03,Insured A-721,AG015,UW103,1
KM-POL-000722,WC,In Force,2021-11-17,2022-11-17,NY,7380,8458.91,Insured A-722,AG015,UW101,1
KM-POL-000723,WC,In Force,2021-01-06,2022-01-06,NY,7380,12598.84,Insured A-723,AG003,UW101,3
KM-POL-000724,CA,Cancelled,2023-04-17,2024-04-16,NJ,7219,5460.64,Insured A-724,AG001,UW101,1
KM-POL-000725,CA,Expired,2023-07-12,2024-07-11,NJ,7210,1625.75,Insured A-725,AG003,UW102,1
KM-POL-000726,GL,In Force,2023-08-21,2024-08-20,NJ,41677,3557.37,Insured A-726,AG002,UW104,2
KM-POL-000727,WC,In Force,2022-08-20,2023-08-20,PA,7380,9402.56,Insured A-727,AG005,UW103,0
KM-POL-000728,CA,Expired,2021-03-08,2022-03-08,PA,7220,6780.29,Insured A-728,AG001,UW101,2
KM-POL-000729,WC,In Force,2022-04-20,2023-04-20,PA,8742,1708.03,Insured A-729,AG001,UW102,2
KM-POL-000730,WC,In Force,2022-08-14,2023-08-14,NJ,7380,8693.24,Insured A-730,AG005,UW104,2
KM-POL-000731,WC,Expired,2022-08-03,2023-08-03,NY,8017,11097.1,Insured A-731,AG001,UW103,1
KM-POL-000732,GL,Expired,2023-07-19,2024-07-18,NJ,97047,12024.82,Insured A-732,AG005,UW103,1
KM-POL-000733,CA,Expired,2021-05-26,2022-05-26,PA,7210,7448.1,Insured A-733,AG001,UW101,1
KM-POL-000734,CA,In Force,2022-04-24,2023-04-24,MD,7220,6971.2,Insured A-734,AG015,UW101,3
KM-POL-000735,WC,In Force,2022-06-26,2023-06-26,MD,9015,5218.93,Insured A-735,AG012,UW104,0
KM-POL-000736,GL,Expired,2022-02-10,2023-02-10,NY,58483,1744.81,Insured A-736,AG012,UW102,5
KM-POL-000737,WC,In Force,2023-05-21,2024-05-20,MD,7380,7226.84,Insured A-737,AG003,UW104,2
KM-POL-000738,GL,In Force,2021-08-24,2022-08-24,DE,58483,13375.0,Insured A-738,AG015,UW101,4
KM-POL-000739,WC,In Force,2022-04-06,2023-04-06,MD,7380,30174.84,Insured A-739,AG001,UW104,1
KM-POL-000740,WC,In Force,2021-11-02,2022-11-02,PA,8742,17473.47,Insured A-740,AG004,UW102,1
KM-POL-000741,CA,Cancelled,2022-06-29,2023-06-29,NJ,7219,6358.86,Insured A-741,AG005,UW103,4
