ClaimNumber,PolicyNumber,ClaimStatus,LossDate,ReportDate,CauseOfLoss,LossState,ClaimantCount,AdjusterID,LitigationFlag,FraudIndicator
KM-CLM-000230,KM-POL-001219,Closed,2024-03-24,2024-04-23,Rear End Collision,NY,1,ADJ-A03,Y,N
KM-CLM-000231,KM-POL-000292,Closed,2022-03-02,2022-04-10,Fall,PA,1,ADJ-A04,N,N
KM-CLM-000232,KM-POL-001911,Closed,2022-11-23,2022-12-14,Fall,PA,1,ADJ-A02,Y,N
KM-CLM-000233,KM-POL-000261,Closed,2022-09-17,2022-10-10,Single Vehicle,NY,1,ADJ-A02,N,
KM-CLM-000234,KM-POL-001966,Closed,2022-12-10,2022-12-21,Parking,NY,1,ADJ-A02,N,N
KM-CLM-000235,KM-POL-001231,Open,2022-09-23,2022-10-24,Advertising Injury,DE,1,ADJ-A05,N,
KM-CLM-000236,KM-POL-000564,Closed,2022-03-15,2022-04-11,Repetitive Motion,PA,1,ADJ-A05,N,N
KM-CLM-000237,KM-POL-000049,Closed,2021-09-09,2021-09-22,Rear End Collision,DE,1,ADJ-A04,N,N
KM-CLM-000238,KM-POL-001030,Closed,2022-08-03,2022-08-29,Slip and Fall,NY,1,ADJ-A04,N,N
KM-CLM-000239,KM-POL-000379,Closed,2023-02-08,2023-03-24,Product Defect,NJ,1,ADJ-A04,N,N
KM-CLM-000240,KM-POL-001418,Closed,2023-09-03,2023-09-26,Burn,NY,1,ADJ-A05,N,N
KM-CLM-000241,KM-POL-001910,Open,2024-01-13,2024-02-05,Struck By,NJ,1,ADJ-A04,N,N
KM-CLM-000242,KM-POL-000224,Closed,2022-07-11,2022-08-05,Struck By,PA,1,ADJ-A01,N,N
KM-CLM-000243,KM-POL-001047,Closed,2023-08-16,2023-09-02,Cut/Laceration,NJ,1,ADJ-A03,N,N
KM-CLM-000244,KM-POL-001008,Reopened,2024-06-03,2024-07-01,Bodily Injury,PA,1,ADJ-A02,N,N
KM-CLM-000245,KM-POL-000657,Open,2022-05-30,2022-06-10,Repetitive Motion,OH,2,ADJ-A02,N,N
KM-CLM-000246,KM-POL-000110,Closed,2022-09-05,2022-10-11,Fall,MD,1,ADJ-A01,N,N
KM-CLM-000247,KM-POL-000724,Closed,2023-07-08,2023-07-16,Rear End Collision,NJ,1,ADJ-A04,N,N
KM-CLM-000248,KM-POL-001836,Open,2023-04-23,2023-05-29,Intersection,NJ,2,ADJ-A05,N,N
KM-CLM-000249,KM-POL-000553,Closed,2022-06-23,2022-08-05,Head On,OH,2,ADJ-A04,N,N
KM-CLM-000250,KM-POL-001423,Open,2022-02-15,2022-03-01,Struck By,NY,2,ADJ-A04,N,N
KM-CLM-000251,KM-POL-001196,Reopened,2023-03-19,2023-03-25,Property Damage,DE,1,ADJ-A02,N,N
KM-CLM-000252,KM-POL-001006,Closed,2022-04-05,2022-04-22,Head On,OH,2,ADJ-A02,N,
KM-CLM-000253,KM-POL-000698,Open,2022-10-31,2022-11-15,Intersection,NJ,1,ADJ-A05,N,N
KM-CLM-000254,KM-POL-000726,Open,2023-11-08,2023-12-13,Product Defect,NJ,1,ADJ-A02,N,N
KM-CLM-000255,KM-POL-000306,Closed,2021-05-05,2021-06-01,Advertising Injury,NJ,1,ADJ-A04,N,N
KM-CLM-000256,KM-POL-001588,Closed,2024-02-03,2024-02-27,Struck By,NY,1,ADJ-A01,N,N
KM-CLM-000257,KM-POL-001606,Closed,2021-11-19,2021-12-01,Rear End Collision,PA,1,ADJ-A05,N,N
KM-CLM-000258,KM-POL-001732,Closed,2023-11-30,2023-12-09,Head On,MD,1,ADJ-A01,N,N
KM-CLM-000259,KM-POL-000959,Closed,2022-09-05,2022-09-14,Struck By,PA,1,ADJ-A04,N,N
KM-CLM-000260,KM-POL-000954,Open,2024-02-05,2024-03-06,Bodily Injury,NJ,1,ADJ-A05,N,N
KM-CLM-000261,KM-POL-001175,Closed,2022-11-16,2022-11-16,Rear End Collision,PA,2,ADJ-A01,N,N
KM-CLM-000262,KM-POL-001452,Closed,2022-05-21,2022-06-01,Single Vehicle,NY,1,ADJ-A05,N,N
KM-CLM-000263,KM-POL-000621,Closed,2022-12-28,2023-01-23,Struck By,NY,1,ADJ-A04,N,N
KM-CLM-000264,KM-POL-001491,Closed,2023-04-28,2023-05-29,Fall,PA,2,ADJ-A05,N,N
KM-CLM-000265,KM-POL-000630,Open,2023-02-25,2023-03-05,Fall,NJ,1,ADJ-A04,Y,N
KM-CLM-000266,KM-POL-000877,Open,2022-05-01,2022-06-10,Intersection,NJ,1,ADJ-A05,N,N
KM-CLM-000267,KM-POL-001631,Closed,2024-01-14,2024-02-16,Parking,NY,2,ADJ-A05,N,N
KM-CLM-000268,KM-POL-001792,Closed,2022-09-02,2022-10-06,Head On,PA,2,ADJ-A02,N,N
KM-CLM-000269,KM-POL-000556,Closed,2023-05-01,2023-05-21,Fall,MD,2,ADJ-A04,N,N
KM-CLM-000270,KM-POL-001972,Closed,2023-09-10,2023-10-11,Slip and Fall,DE,1,ADJ-A03,N,N
KM-CLM-000271,KM-POL-000067,Reopened,2023-11-13,2023-12-02,Repetitive Motion,PA,1,ADJ-A05,Y,N
KM-CLM-000272,KM-POL-001180,Closed,2021-05-05,2021-05-21,Parking,NY,1,ADJ-A01,N,N
KM-CLM-000273,KM-POL-000835,Closed,2023-10-27,2023-12-01,Single Vehicle,NJ,1,ADJ-A02,Y,N
KM-CLM-000274,KM-POL-000206,Open,2022-10-04,2022-11-09,Repetitive Motion,MD,1,ADJ-A02,N,N
KM-CLM-000275,KM-POL-000786,Open,2023-11-15,2023-11-18,Advertising Injury,PA,1,ADJ-A05,N,N
KM-CLM-000276,KM-POL-000155,Closed,2023-12-12,2024-01-06,Product Defect,PA,2,ADJ-A03,N,N
KM-CLM-000277,KM-POL-001715,Closed,2022-11-22,2022-11-28,Cut/Laceration,MD,1,ADJ-A02,N,N
KM-CLM-000278,KM-POL-001533,Closed,2021-10-29,2021-12-12,Sideswipe,NJ,1,ADJ-A04,N,N
KM-CLM-000279,KM-POL-001596,Closed,2023-02-01,2023-02-11,Single Vehicle,NY,1,ADJ-A05,N,N
KM-CLM-000280,KM-POL-001098,Closed,2023-06-11,2023-06-14,Fall,PA,1,ADJ-A05,N,N
KM-CLM-000281,KM-POL-001073,Open,2021-09-16,2021-09-29,Cut/Laceration,NJ,3,ADJ-A03,N,
KM-CLM-000282,KM-POL-000783,Closed,2022-01-12,2022-01-28,Struck By,MD,1,ADJ-A04,N,N
KM-CLM-000283,KM-POL-001491,Open,2023-02-14,2023-03-16,Burn,PA,1,ADJ-A04,N,N
KM-CLM-000284,KM-POL-000585,Open,2024-02-24,2024-04-04,Intersection,DE,1,ADJ-A03,N,N
KM-CLM-000285,KM-POL-000708,Closed,2023-10-13,2023-10-19,Bodily Injury,PA,1,ADJ-A01,Y,N
KM-CLM-000286,KM-POL-001935,Open,2024-04-09,2024-05-07,Single Vehicle,NJ,1,ADJ-A04,Y,N
KM-CLM-000287,KM-POL-000179,Closed,2024-03-09,2024-03-30,Product Defect,NY,2,ADJ-A01,N,N
KM-CLM-000288,KM-POL-001072,Open,2022-01-30,2022-02-15,Fall,NY,1,ADJ-A01,N,Y
KM-CLM-000289,KM-POL-001096,Open,2021-09-30,2021-10-23,Repetitive Motion,NY,1,ADJ-A05,N,N
KM-CLM-000290,KM-POL-000113,Closed,2023-01-22,2023-02-14,Product Defect,PA,1,ADJ-A05,N,N
KM-CLM-000291,KM-POL-000757,Closed,2021-10-03,2021-11-07,Single Vehicle,NJ,2,ADJ-A02,N,
KM-CLM-000292,KM-POL-000897,Open,2023-03-08,2023-04-12,Burn,DE,1,ADJ-A05,N,N
KM-CLM-000293,KM-POL-001927,Open,2023-07-18,2023-08-03,Head On,NY,1,ADJ-A04,N,N
KM-CLM-000294,KM-POL-000821,Reopened,2022-03-10,2022-04-01,Product Defect,MD,1,ADJ-A04,N,N
KM-CLM-000295,KM-POL-000159,Closed,2024-04-26,2024-04-27,Motor Vehicle,NJ,2,ADJ-A01,N,N
KM-CLM-000296,KM-POL-000786,Closed,2024-09-08,2024-10-04,Product Defect,PA,2,ADJ-A04,N,N
KM-CLM-000297,KM-POL-001804,Closed,2023-10-26,2023-11-02,Struck By,MD,2,ADJ-A05,Y,N
KM-CLM-000298,KM-POL-001840,Open,2022-02-12,2022-03-06,Repetitive Motion,NY,2,ADJ-A05,N,N
KM-CLM-000299,KM-POL-001054,Closed,2022-01-21,2022-03-05,Head On,PA,1,ADJ-A05,N,N
KM-CLM-000300,KM-POL-001121,Closed,2023-11-25,2024-01-02,Advertising Injury,PA,1,ADJ-A03,N,N
KM-CLM-000301,KM-POL-000251,Closed,2022-01-03,2022-01-15,Fall,PA,2,ADJ-A04,N,N
KM-CLM-000302,KM-POL-001543,Open,2022-05-30,2022-07-05,Parking,PA,2,ADJ-A02,N,N
KM-CLM-000303,KM-POL-001116,Closed,2024-01-14,2024-02-19,Sideswipe,OH,1,ADJ-A04,Y,N
KM-CLM-000304,KM-POL-000113,Open,2023-07-05,2023-08-15,Advertising Injury,PA,1,ADJ-A04,N,N
KM-CLM-000305,KM-POL-000259,Open,2024-10-20,2024-11-30,Sideswipe,NJ,3,ADJ-A03,Y,N
KM-CLM-000306,KM-POL-000107,Open,2022-10-01,2022-11-04,Struck By,OH,1,ADJ-A04,N,N
KM-CLM-000307,KM-POL-000575,Open,2022-06-02,2022-06-13,Slip and Fall,PA,2,ADJ-A01,N,N
KM-CLM-000308,KM-POL-001414,Reopened,2024-01-08,2024-01-26,Burn,NJ,1,ADJ-A05,N,N
KM-CLM-000309,KM-POL-000991,Closed,2021-11-15,2021-12-07,Single Vehicle,PA,1,ADJ-A05,N,N
KM-CLM-000310,KM-POL-001382,Open,2024-04-05,2024-04-25,Repetitive Motion,NJ,1,ADJ-A03,N,N
KM-CLM-000311,KM-POL-001807,Reopened,2021-05-18,2021-06-30,Rear End Collision,NJ,1,ADJ-A05,N,N
KM-CLM-000312,KM-POL-001223,Closed,2023-10-04,2023-11-05,Fall,PA,1,ADJ-A01,N,N
KM-CLM-000313,KM-POL-000427,Closed,2024-04-01,2024-05-02,Struck By,PA,1,ADJ-A03,N,N
KM-CLM-000314,KM-POL-001502,Reopened,2024-09-15,2024-10-13,Sideswipe,OH,1,ADJ-A02,N,N
KM-CLM-000315,KM-POL-000859,Open,2022-06-15,2022-06-20,Head On,PA,3,ADJ-A05,N,N
KM-CLM-000316,KM-POL-001873,Closed,2023-10-01,2023-10-25,Rear End Collision,PA,1,ADJ-A04,N,N
KM-CLM-000317,KM-POL-001527,Closed,2022-06-25,2022-08-03,Motor Vehicle,MD,1,ADJ-A01,Y,N
KM-CLM-000318,KM-POL-001682,Closed,2022-06-07,2022-06-25,Property Damage,PA,1,ADJ-A01,Y,N
KM-CLM-000319,KM-POL-000918,Closed,2024-01-12,2024-02-10,Bodily Injury,OH,1,ADJ-A05,N,N
KM-CLM-000320,KM-POL-001597,Closed,2023-10-08,2023-11-17,Cut/Laceration,PA,1,ADJ-A02,N,N
KM-CLM-000321,KM-POL-001144,Closed,2022-02-23,2022-03-04,Intersection,DE,1,ADJ-A04,N,N
KM-CLM-000322,KM-POL-001597,Open,2023-09-27,2023-10-07,Cut/Laceration,PA,1,ADJ-A02,N,
KM-CLM-000323,KM-POL-001333,Closed,2022-12-27,2023-02-05,Repetitive Motion,PA,1,ADJ-A02,Y,N
KM-CLM-000324,KM-POL-001562,Open,2021-11-17,2021-12-08,Motor Vehicle,OH,1,ADJ-A05,N,
KM-CLM-000325,KM-POL-000627,Reopened,2023-04-08,2023-05-04,Head On,PA,1,ADJ-A04,N,N
KM-CLM-000326,KM-POL-000475,Open,2022-08-11,2022-09-20,Head On,DE,1,ADJ-A05,N,N
KM-CLM-000327,KM-POL-000552,Closed,2022-11-02,2022-12-11,Property Damage,PA,2,ADJ-A05,N,N
KM-CLM-000328,KM-POL-000344,Closed,2023-08-02,2023-09-07,Fall,NJ,2,ADJ-A01,N,N
KM-CLM-000329,KM-POL-000628,Reopened,2023-05-25,2023-06-19,Sideswipe,NY,3,ADJ-A05,Y,N
KM-CLM-000330,KM-POL-000136,Closed,2022-11-10,2022-11-14,Strain,OH,2,ADJ-A03,N,N
KM-CLM-000331,KM-POL-000277,Closed,2024-01-27,2024-02-01,Sideswipe,NY,1,ADJ-A04,N,N
KM-CLM-000332,KM-POL-001835,Closed,2024-05-31,2024-06-10,Product Defect,NJ,1,ADJ-A01,N,N
KM-CLM-000333,KM-POL-001557,Closed,2024-07-13,2024-08-03,Rear End Collision,PA,1,ADJ-A04,N,N
KM-CLM-000334,KM-POL-001923,Closed,2023-09-05,2023-09-19,Single Vehicle,NY,2,ADJ-A01,N,N
KM-CLM-000335,KM-POL-000031,Closed,2022-05-25,2022-06-14,Single Vehicle,PA,2,ADJ-A03,N,N
KM-CLM-000336,KM-POL-000247,Reopened,2023-12-10,2023-12-30,Struck By,PA,2,ADJ-A05,N,N
KM-CLM-000337,KM-POL-000411,Closed,2023-07-28,2023-09-07,Burn,NY,1,ADJ-A01,Y,N
KM-CLM-000338,KM-POL-000027,Open,2022-10-24,2022-11-11,Burn,NY,2,ADJ-A01,N,N
KM-CLM-000339,KM-POL-000073,Closed,2022-01-23,2022-03-09,Burn,PA,1,ADJ-A01,Y,N
KM-CLM-000340,KM-POL-001977,Closed,2023-02-11,2023-02-28,Fall,NJ,1,ADJ-A03,N,N
KM-CLM-000341,KM-POL-001121,Closed,2024-05-16,2024-06-23,Advertising Injury,PA,2,ADJ-A04,N,N
KM-CLM-000342,KM-POL-000673,Closed,2022-04-22,2022-06-02,Fall,NY,1,ADJ-A03,N,N
KM-CLM-000343,KM-POL-001370,Open,2021-11-11,2021-12-06,Fall,NY,3,ADJ-A01,Y,N
KM-CLM-000344,KM-POL-000476,Closed,2022-10-30,2022-11-16,Slip and Fall,OH,1,ADJ-A01,N,N
KM-CLM-000345,KM-POL-001324,Closed,2024-04-11,2024-05-09,Struck By,DE,2,ADJ-A05,N,N
KM-CLM-000346,KM-POL-001323,Closed,2022-03-20,2022-04-12,Slip and Fall,NY,1,ADJ-A03,Y,N
KM-CLM-000347,KM-POL-000287,Open,2023-04-22,2023-05-29,Head On,MD,2,ADJ-A03,N,N
KM-CLM-000348,KM-POL-001909,Closed,2022-03-11,2022-04-13,Motor Vehicle,DE,2,ADJ-A02,Y,N
KM-CLM-000349,KM-POL-001473,Closed,2024-01-22,2024-02-19,Bodily Injury,NY,2,ADJ-A04,N,N
KM-CLM-000350,KM-POL-000212,Open,2022-07-06,2022-08-01,Sideswipe,OH,1,ADJ-A02,Y,N
KM-CLM-000351,KM-POL-001100,Open,2021-05-22,2021-06-01,Burn,NJ,2,ADJ-A02,N,N
KM-CLM-000352,KM-POL-000401,Reopened,2023-04-29,2023-05-10,Motor Vehicle,NJ,1,ADJ-A04,Y,N
KM-CLM-000353,KM-POL-000655,Open,2023-06-01,2023-06-02,Burn,NY,1,ADJ-A05,N,N
KM-CLM-000354,KM-POL-001058,Reopened,2022-03-03,2022-03-11,Cut/Laceration,PA,1,ADJ-A05,N,N
KM-CLM-000355,KM-POL-000498,Open,2022-03-19,2022-04-03,Repetitive Motion,OH,2,ADJ-A04,N,N
KM-CLM-000356,KM-POL-000848,Closed,2022-09-16,2022-10-28,Property Damage,PA,1,ADJ-A04,N,N
KM-CLM-000357,KM-POL-001540,Closed,2023-10-04,2023-10-20,Sideswipe,PA,2,ADJ-A03,Y,N
KM-CLM-000358,KM-POL-001352,Closed,2021-06-11,2021-07-25,Parking,NJ,1,ADJ-A03,N,N
KM-CLM-000359,KM-POL-000098,Closed,2021-11-12,2021-11-17,Cut/Laceration,NY,1,ADJ-A03,Y,N
KM-CLM-000360,KM-POL-000366,Closed,2022-12-01,2022-12-14,Cut/Laceration,PA,2,ADJ-A03,N,N
KM-CLM-000361,KM-POL-001753,Closed,2022-09-04,2022-09-14,Fall,NJ,1,ADJ-A01,Y,N
KM-CLM-000362,KM-POL-000463,Open,2023-08-01,2023-08-26,Sideswipe,NY,2,ADJ-A01,N,N
KM-CLM-000363,KM-POL-000028,Closed,2023-01-05,2023-01-11,Sideswipe,MD,1,ADJ-A05,N,N
KM-CLM-000364,KM-POL-000713,Open,2021-11-16,2021-11-22,Sideswipe,NJ,1,ADJ-A01,N,N
KM-CLM-000365,KM-POL-001410,Closed,2022-09-14,2022-09-18,Slip and Fall,PA,1,ADJ-A01,N,
KM-CLM-000366,KM-POL-000273,Open,2024-02-21,2024-03-22,Bodily Injury,NJ,1,ADJ-A03,N,N
KM-CLM-000367,KM-POL-000826,Closed,2022-05-29,2022-07-03,Slip and Fall,OH,1,ADJ-A03,N,N
KM-CLM-000368,KM-POL-001151,Closed,2022-04-26,2022-04-29,Intersection,NY,1,ADJ-A04,N,N
KM-CLM-000369,KM-POL-000202,Open,2022-12-13,2022-12-14,Cut/Laceration,PA,1,ADJ-A03,N,N
KM-CLM-000370,KM-POL-001545,Open,2023-07-28,2023-08-22,Product Defect,OH,1,ADJ-A04,N,N
KM-CLM-000371,KM-POL-001311,Closed,2023-05-07,2023-06-09,Repetitive Motion,NY,1,ADJ-A04,N,N
KM-CLM-000372,KM-POL-000450,Closed,2023-10-29,2023-11-03,Repetitive Motion,NJ,2,ADJ-A01,N,N
KM-CLM-000373,KM-POL-001112,Closed,2021-05-23,2021-05-29,Fall,PA,1,ADJ-A03,N,N
KM-CLM-000374,KM-POL-001342,Closed,2024-06-23,2024-07-09,Sideswipe,DE,2,ADJ-A01,N,N
KM-CLM-000375,KM-POL-000019,Open,2023-03-07,2023-04-15,Strain,PA,1,ADJ-A03,N,N
KM-CLM-000376,KM-POL-001617,Closed,2023-12-19,2023-12-28,Product Defect,DE,1,ADJ-A01,N,Y
KM-CLM-000377,KM-POL-001131,Open,2023-12-26,2023-12-31,Parking,OH,1,ADJ-A01,N,N
KM-CLM-000378,KM-POL-001482,Closed,2023-05-13,2023-06-23,Motor Vehicle,DE,1,ADJ-A01,N,N
KM-CLM-000379,KM-POL-000311,Reopened,2021-12-02,2021-12-26,Burn,DE,1,ADJ-A05,N,N
KM-CLM-000380,KM-POL-000412,Closed,2021-11-13,2021-12-02,Bodily Injury,PA,1,ADJ-A01,N,N
KM-CLM-000381,KM-POL-000742,Closed,2021-11-20,2021-12-04,Repetitive Motion,PA,2,ADJ-A02,N,N
KM-CLM-000382,KM-POL-000624,Open,2024-09-19,2024-10-04,Intersection,MD,2,ADJ-A02,N,
KM-CLM-000383,KM-POL-000732,Closed,2023-08-11,2023-08-29,Bodily Injury,NJ,1,ADJ-A02,Y,N
KM-CLM-000384,KM-POL-000635,Closed,2022-07-03,2022-07-31,Fall,NY,2,ADJ-A04,Y,N
KM-CLM-000385,KM-POL-000498,Open,2022-04-06,2022-05-16,Cut/Laceration,OH,1,ADJ-A01,Y,N
KM-CLM-000386,KM-POL-000244,Open,2024-06-24,2024-07-02,Cut/Laceration,MD,1,ADJ-A02,N,N
KM-CLM-000387,KM-POL-000690,Closed,2024-05-20,2024-05-28,Motor Vehicle,NJ,1,ADJ-A04,N,N
KM-CLM-000388,KM-POL-000577,Closed,2022-11-03,2022-12-06,Strain,MD,2,ADJ-A02,N,N
KM-CLM-000389,KM-POL-001404,Closed,2022-09-27,2022-10-07,Single Vehicle,NJ,2,ADJ-A03,N,
KM-CLM-000390,KM-POL-000515,Reopened,2022-02-15,2022-02-16,Repetitive Motion,NY,2,ADJ-A05,N,
KM-CLM-000391,KM-POL-000207,Open,2022-12-26,2022-12-28,Motor Vehicle,PA,1,ADJ-A01,N,N
KM-CLM-000392,KM-POL-000948,Closed,2023-03-07,2023-04-18,Bodily Injury,DE,1,ADJ-A05,N,N
KM-CLM-000393,KM-POL-000394,Closed,2021-07-07,2021-07-29,Head On,PA,1,ADJ-A05,N,N
KM-CLM-000394,KM-POL-001045,Open,2023-05-29,2023-06-18,Property Damage,NY,1,ADJ-A03,Y,N
KM-CLM-000395,KM-POL-001829,Closed,2023-09-06,2023-10-06,Parking,OH,1,ADJ-A03,Y,N
KM-CLM-000396,KM-POL-001551,Open,2023-12-26,2024-01-24,Advertising Injury,OH,1,ADJ-A03,Y,Y
KM-CLM-000397,KM-POL-001367,Open,2023-04-17,2023-05-21,Head On,NJ,1,ADJ-A04,N,N
KM-CLM-000398,KM-POL-000718,Open,2022-10-22,2022-11-08,Advertising Injury,MD,1,ADJ-A02,N,N
KM-CLM-000399,KM-POL-001999,Reopened,2021-09-13,2021-10-18,Burn,DE,1,ADJ-A01,Y,N
KM-CLM-000400,KM-POL-000202,Closed,2022-09-24,2022-10-22,Burn,PA,1,ADJ-A03,Y,N
KM-CLM-000401,KM-POL-000120,Closed,2022-03-22,2022-03-30,Single Vehicle,OH,1,ADJ-A01,N,N
KM-CLM-000402,KM-POL-001673,Closed,2022-06-22,2022-08-05,Slip and Fall,NY,1,ADJ-A01,N,N
KM-CLM-000403,KM-POL-001836,Closed,2022-10-18,2022-11-21,Single Vehicle,NJ,1,ADJ-A01,N,N
KM-CLM-000404,KM-POL-001831,Closed,2021-10-21,2021-11-01,Slip and Fall,NJ,1,ADJ-A03,N,
KM-CLM-000405,KM-POL-000389,Reopened,2021-07-23,2021-08-29,Parking,NY,1,ADJ-A03,N,N
KM-CLM-000406,KM-POL-001561,Closed,2023-04-06,2023-05-14,Cut/Laceration,NJ,1,ADJ-A02,N,N
KM-CLM-000407,KM-POL-001848,Closed,2021-07-09,2021-08-07,Motor Vehicle,DE,1,ADJ-A03,Y,N
KM-CLM-000408,KM-POL-000234,Open,2022-12-14,2023-01-23,Rear End Collision,OH,2,ADJ-A03,N,N
KM-CLM-000409,KM-POL-001657,Closed,2022-12-08,2023-01-17,Sideswipe,NJ,1,ADJ-A01,N,N
KM-CLM-000410,KM-POL-000602,Closed,2022-12-03,2023-01-08,Burn,PA,1,ADJ-A02,N,N
KM-CLM-000411,KM-POL-001344,Reopened,2023-12-28,2024-01-24,Single Vehicle,PA,1,ADJ-A05,N,
KM-CLM-000412,KM-POL-000712,Open,2022-03-31,2022-05-03,Parking,DE,2,ADJ-A03,N,N
KM-CLM-000413,KM-POL-000982,Open,2024-05-03,2024-06-12,Head On,PA,1,ADJ-A03,N,N
KM-CLM-000414,KM-POL-001204,Closed,2022-07-17,2022-08-26,Strain,OH,1,ADJ-A05,Y,N
KM-CLM-000415,KM-POL-000857,Open,2024-04-30,2024-06-03,Burn,PA,1,ADJ-A01,N,N
KM-CLM-000416,KM-POL-001392,Open,2021-12-28,2022-01-16,Cut/Laceration,OH,1,ADJ-A02,Y,N
KM-CLM-000417,KM-POL-000076,Closed,2022-09-13,2022-10-05,Single Vehicle,OH,1,ADJ-A01,N,N
KM-CLM-000418,KM-POL-000649,Closed,2022-09-10,2022-10-10,Head On,NJ,3,ADJ-A04,N,N
KM-CLM-000419,KM-POL-000650,Closed,2022-10-11,2022-11-14,Rear End Collision,NJ,2,ADJ-A03,N,N
KM-CLM-000420,KM-POL-000496,Closed,2023-05-04,2023-05-18,Fall,NJ,1,ADJ-A04,N,N
KM-CLM-000421,KM-POL-001546,Open,2022-01-26,2022-01-31,Intersection,PA,1,ADJ-A03,N,N
KM-CLM-000422,KM-POL-001225,Closed,2021-11-17,2021-12-15,Cut/Laceration,PA,1,ADJ-A04,N,N
KM-CLM-000423,KM-POL-000830,Open,2023-01-31,2023-02-19,Parking,PA,1,ADJ-A05,N,N
KM-CLM-000424,KM-POL-001370,Reopened,2022-06-21,2022-07-14,Struck By,NY,1,ADJ-A03,N,N
KM-CLM-000425,KM-POL-000483,Closed,2023-07-24,2023-08-19,Intersection,MD,1,ADJ-A03,N,N
KM-CLM-000426,KM-POL-001243,Closed,2023-02-08,2023-02-24,Parking,DE,1,ADJ-A04,N,N
KM-CLM-000427,KM-POL-001084,Closed,2023-10-16,2023-10-25,Product Defect,DE,1,ADJ-A02,N,N
KM-CLM-000428,KM-POL-000991,Closed,2021-09-19,2021-10-08,Parking,PA,1,ADJ-A04,N,N
KM-CLM-000429,KM-POL-001683,Open,2023-04-17,2023-04-17,Intersection,NY,3,ADJ-A03,N,N
KM-CLM-000430,KM-POL-000619,Closed,2022-09-30,2022-09-30,Advertising Injury,OH,1,ADJ-A03,N,N
KM-CLM-000431,KM-POL-000550,Closed,2021-10-21,2021-11-23,Rear End Collision,PA,3,ADJ-A02,N,N
KM-CLM-000432,KM-POL-000646,Closed,2023-10-05,2023-10-13,Advertising Injury,NJ,1,ADJ-A01,N,N
KM-CLM-000433,KM-POL-001935,Closed,2024-01-23,2024-02-14,Sideswipe,NJ,1,ADJ-A02,N,N
KM-CLM-000434,KM-POL-001245,Closed,2023-06-05,2023-06-23,Parking,NY,1,ADJ-A01,Y,N
KM-CLM-000435,KM-POL-001839,Closed,2023-12-02,2024-01-01,Bodily Injury,MD,1,ADJ-A03,Y,N
KM-CLM-000436,KM-POL-001965,Open,2022-05-05,2022-06-08,Rear End Collision,PA,1,ADJ-A05,N,N
KM-CLM-000437,KM-POL-000502,Closed,2023-06-12,2023-06-12,Head On,NY,2,ADJ-A05,N,N
KM-CLM-000438,KM-POL-001157,Open,2023-08-13,2023-09-26,Burn,MD,3,ADJ-A04,N,N
KM-CLM-000439,KM-POL-000846,Closed,2022-11-08,2022-12-09,Strain,NJ,1,ADJ-A02,N,
KM-CLM-000440,KM-POL-000053,Closed,2022-10-31,2022-11-30,Product Defect,PA,1,ADJ-A02,N,N
KM-CLM-000441,KM-POL-000450,Closed,2023-07-18,2023-08-06,Motor Vehicle,NJ,1,ADJ-A05,Y,N
KM-CLM-000442,KM-POL-000062,Closed,2022-03-19,2022-03-19,Burn,DE,1,ADJ-A01,Y,N
KM-CLM-000443,KM-POL-001047,Open,2024-03-04,2024-03-31,Repetitive Motion,NJ,1,ADJ-A02,N,
KM-CLM-000444,KM-POL-000044,Closed,2022-11-15,2022-12-03,Advertising Injury,PA,1,ADJ-A01,N,N
KM-CLM-000445,KM-POL-000820,Closed,2023-05-13,2023-06-20,Fall,NJ,1,ADJ-A01,N,N
KM-CLM-000446,KM-POL-001582,Closed,2024-03-17,2024-03-31,Cut/Laceration,OH,1,ADJ-A01,Y,N
KM-CLM-000447,KM-POL-000659,Open,2022-11-11,2022-11-11,Parking,PA,1,ADJ-A01,Y,N
KM-CLM-000448,KM-POL-000728,Closed,2022-02-01,2022-03-08,Intersection,PA,1,ADJ-A04,N,N
KM-CLM-000449,KM-POL-000852,Closed,2024-04-10,2024-05-03,Parking,PA,1,ADJ-A04,N,N
KM-CLM-000450,KM-POL-000047,Open,2022-05-19,2022-05-31,Strain,PA,3,ADJ-A05,N,N
KM-CLM-000451,KM-POL-001883,Closed,2023-03-09,2023-04-04,Sideswipe,MD,1,ADJ-A04,N,N
KM-CLM-000452,KM-POL-000820,Open,2024-03-24,2024-04-28,Cut/Laceration,NJ,2,ADJ-A02,N,N
KM-CLM-000453,KM-POL-001048,Closed,2022-08-23,2022-09-19,Burn,NJ,2,ADJ-A04,N,N
KM-CLM-000454,KM-POL-001681,Open,2022-04-11,2022-05-06,Repetitive Motion,NY,3,ADJ-A02,Y,N
KM-CLM-000455,KM-POL-000089,Closed,2023-07-17,2023-08-01,Product Defect,OH,2,ADJ-A02,N,
KM-CLM-000456,KM-POL-001198,Closed,2021-10-02,2021-10-12,Bodily Injury,OH,1,ADJ-A01,Y,N
KM-CLM-000457,KM-POL-001600,Closed,2021-12-30,2022-02-13,Slip and Fall,NY,2,ADJ-A05,N,N
KM-CLM-000458,KM-POL-001143,Closed,2022-02-28,2022-04-10,Intersection,DE,1,ADJ-A01,N,N
KM-CLM-000459,KM-POL-000735,Closed,2022-12-12,2023-01-05,Struck By,MD,1,ADJ-A01,N,N
