pol_id,line_of_business,status,eff_dt,exp_dt,jurisdiction,class_cd,total_premium,named_insured,producer_code,uw_id,term_number
GLI5838680,WorkersComp,Cancelled,2022-11-10,2023-11-10,Ohio,5191,18454.65,GLI Insured 209,P-100,GLI-UW2,1
GLI1055991,WorkersComp,Active,2023-04-19,2024-04-18,Indiana,5183,16227.84,GLI Insured 210,P-100,GLI-UW3,6
GLI9936647,WorkersComp,Active,2022-04-13,2023-04-13,Minnesota,8810,9680.44,GLI Insured 211,P-100,GLI-UW1,4
GLI6604510,WorkersComp,Expired,2023-10-19,2024-10-18,Michigan,5183,17247.51,GLI Insured 212,P-500,,3
GLI8784988,WorkersComp,Active,2023-04-18,2024-04-17,Michigan,5191,30720.74,GLI Insured 213,P-500,GLI-UW2,4
GLI3890222,GenLiab,Active,2023-05-05,2024-05-04,Ohio,58483,10010.09,GLI Insured 214,P-200,GLI-UW3,1
GLI2649587,WorkersComp,Expired,2021-05-13,2022-05-13,Wisconsin,8810,16513.0,GLI Insured 215,P-100,GLI-UW3,5
GLI7431603,WorkersComp,Expired,2022-09-05,2023-09-05,Illinois,8742,11485.94,GLI Insured 216,P-200,,6
GLI8014552,GenLiab,Active,2023-04-08,2024-04-07,Indiana,58483,3841.25,GLI Insured 217,P-400,,1
GLI8017399,WorkersComp,Active,2023-01-17,2024-01-17,Wisconsin,9015,10694.31,GLI Insured 218,P-200,GLI-UW3,6
GLI7883587,GenLiab,Expired,2023-03-22,2024-03-21,Michigan,91580,6420.59,GLI Insured 219,,GLI-UW3,2
GLI4168795,GenLiab,Active,2024-01-14,2025-01-13,Illinois,97047,8033.01,GLI Insured 220,P-100,GLI-UW3,1
GLI1487227,CommAuto,Non-Renewed,2023-07-18,2024-07-17,Ohio,7220,5082.28,GLI Insured 221,,GLI-UW2,2
GLI4761327,CommAuto,Non-Renewed,2023-06-12,2024-06-11,Minnesota,7220,2921.55,GLI Insured 222,P-100,GLI-UW1,6
GLI3324853,WorkersComp,Cancelled,2023-01-30,2024-01-30,Illinois,5183,22595.3,GLI Insured 223,P-300,GLI-UW2,3
GLI9445000,CommAuto,Active,2021-11-27,2022-11-27,Illinois,7219,2781.98,GLI Insured 224,P-200,GLI-UW3,3
GLI2350663,CommAuto,Active,2023-02-08,2024-02-08,Illinois,7219,5302.57,GLI Insured 225,P-300,GLI-UW1,1
GLI7858110,WorkersComp,Non-Renewed,2022-08-18,2023-08-18,Indiana,8017,12881.35,GLI Insured 226,P-100,GLI-UW2,1
GLI1383084,WorkersComp,Active,2022-03-31,2023-03-31,Wisconsin,5191,3149.67,GLI Insured 227,P-500,GLI-UW2,5
GLI6452935,GenLiab,Active,2023-11-27,2024-11-26,Michigan,97047,18948.14,GLI Insured 228,P-100,GLI-UW2,2
GLI5193310,WorkersComp,Active,2022-09-28,2023-09-28,Illinois,7380,7809.43,GLI Insured 229,P-300,,1
GLI3792716,GenLiab,Active,2022-08-29,2023-08-29,Wisconsin,97047,2453.03,GLI Insured 230,P-100,GLI-UW1,1
GLI8917395,CommAuto,Expired,2021-08-18,2022-08-18,Wisconsin,7230,4024.9,GLI Insured 231,P-200,GLI-UW3,1
GLI2526163,WorkersComp,Cancelled,2023-09-08,2024-09-07,Michigan,8810,3370.96,GLI Insured 232,P-100,GLI-UW3,3
GLI7212534,WorkersComp,Expired,2021-08-21,2022-08-21,Illinois,8810,4808.01,GLI Insured 233,,GLI-UW1,4
GLI1381170,WorkersComp,Expired,2022-12-13,2023-12-13,Michigan,5183,4724.14,GLI Insured 234,P-100,GLI-UW3,2
GLI7532030,CommAuto,Active,2024-01-07,2025-01-06,Wisconsin,7220,3658.9,GLI Insured 235,P-200,GLI-UW2,1
GLI9578785,WorkersComp,Expired,2021-10-19,2022-10-19,Wisconsin,8742,27675.23,GLI Insured 236,P-200,GLI-UW2,1
GLI4238532,CommAuto,Active,2021-04-17,2022-04-17,Wisconsin,7220,4334.91,GLI Insured 237,P-400,GLI-UW2,2
GLI3707494,CommAuto,Active,2021-11-19,2022-11-19,Indiana,7230,4514.68,GLI Insured 238,P-100,,4
GLI8680087,GenLiab,Active,2021-10-06,2022-10-06,Michigan,97047,3708.56,GLI Insured 239,P-500,,2
GLI7191871,WorkersComp,Expired,2022-07-11,2023-07-11,Ohio,9015,10456.64,GLI Insured 240,P-300,,1
GLI5015044,CommAuto,Active,2021-07-31,2022-07-31,Illinois,7210,3931.75,GLI Insured 241,P-300,,1
GLI3939552,WorkersComp,Non-Renewed,2022-02-26,2023-02-26,Illinois,9015,7514.41,GLI Insured 242,P-200,GLI-UW1,2
GLI8921679,WorkersComp,Non-Renewed,2023-04-04,2024-04-03,Illinois,9015,15311.52,GLI Insured 243,P-300,GLI-UW2,3
GLI4351841,WorkersComp,Active,2021-07-12,2022-07-12,Wisconsin,9015,3472.56,GLI Insured 244,P-200,,1
GLI6414413,GenLiab,Active,2022-01-10,2023-01-10,Illinois,58483,14960.74,GLI Insured 245,P-200,GLI-UW3,2
GLI3225498,GenLiab,Expired,2022-06-29,2023-06-29,Illinois,91580,628.58,GLI Insured 246,P-100,GLI-UW2,2
GLI5915420,WorkersComp,Non-Renewed,2021-08-26,2022-08-26,Wisconsin,7380,7451.86,GLI Insured 247,P-400,GLI-UW3,3
GLI2087378,CommAuto,Cancelled,2021-08-02,2022-08-02,Indiana,7219,10416.07,GLI Insured 248,P-100,GLI-UW1,4
GLI1518244,WorkersComp,Active,2021-03-20,2022-03-20,Indiana,5183,24006.05,GLI Insured 249,P-100,GLI-UW2,2
GLI4473005,CommAuto,Active,2021-03-28,2022-03-28,Wisconsin,7230,4495.63,GLI Insured 250,P-300,GLI-UW2,5
GLI8737309,WorkersComp,Active,2023-01-28,2024-01-28,Michigan,9015,3909.14,GLI Insured 251,P-200,GLI-UW2,3
GLI8703978,CommAuto,Active,2021-07-23,2022-07-23,Indiana,7210,3665.12,GLI Insured 252,P-300,GLI-UW3,1
GLI5111205,CommAuto,Active,2022-01-14,2023-01-14,Wisconsin,7219,24687.05,GLI Insured 253,P-300,,4
GLI8443265,CommAuto,Expired,2023-09-30,2024-09-29,Indiana,7230,6608.64,GLI Insured 254,P-200,GLI-UW1,2
GLI5058134,WorkersComp,Active,2023-01-07,2024-01-07,Minnesota,5191,1753.74,GLI Insured 255,P-200,GLI-UW3,5
GLI3967518,CommAuto,Cancelled,2021-10-03,2022-10-03,Ohio,7219,4264.33,GLI Insured 256,P-200,GLI-UW3,2
GLI8741111,CommAuto,Active,2021-11-05,2022-11-05,Michigan,7210,2646.46,GLI Insured 257,P-300,GLI-UW3,3
GLI9392214,WorkersComp,Active,2021-06-24,2022-06-24,Michigan,9015,2583.92,GLI Insured 258,,GLI-UW2,6
GLI2864909,WorkersComp,Active,2021-12-10,2022-12-10,Indiana,8017,12511.25,GLI Insured 259,P-200,,1
GLI6557607,GenLiab,Active,2022-04-13,2023-04-13,Wisconsin,41677,2499.27,GLI Insured 260,P-400,GLI-UW2,2
GLI3672049,GenLiab,Expired,2021-08-14,2022-08-14,Indiana,91580,18744.43,GLI Insured 261,P-400,GLI-UW1,4
GLI5108127,WorkersComp,Active,2022-03-16,2023-03-16,Wisconsin,7380,27091.36,GLI Insured 262,P-500,GLI-UW3,3
GLI8754634,CommAuto,Cancelled,2021-09-04,2022-09-04,Ohio,7210,2414.56,GLI Insured 263,P-400,GLI-UW1,4
GLI2171758,CommAuto,Non-Renewed,2021-09-04,2022-09-04,Wisconsin,7210,2311.11,GLI Insured 264,P-100,GLI-UW2,2
GLI1115482,GenLiab,Cancelled,2021-03-08,2022-03-08,Illinois,58483,9307.81,GLI Insured 265,P-200,GLI-UW1,2
GLI1542282,GenLiab,Expired,2023-08-04,2024-08-03,Michigan,97047,12261.39,GLI Insured 266,P-500,GLI-UW2,2
GLI7817366,CommAuto,Expired,2022-06-21,2023-06-21,Michigan,7220,,GLI Insured 267,P-300,GLI-UW2,2
GLI9720251,WorkersComp,Active,2022-05-05,2023-05-05,Illinois,5183,19547.64,GLI Insured 268,P-100,GLI-UW1,1
GLI8888801,CommAuto,Expired,2021-06-11,2022-06-11,Michigan,7230,12901.7,GLI Insured 269,P-200,GLI-UW3,3
GLI7464522,GenLiab,Non-Renewed,2021-08-10,2022-08-10,Illinois,97047,7072.2,GLI Insured 270,P-200,GLI-UW2,1
GLI2180539,GenLiab,Active,2023-05-02,2024-05-01,Michigan,41677,2384.59,GLI Insured 271,P-500,GLI-UW2,1
GLI7997602,WorkersComp,Expired,2022-12-17,2023-12-17,Wisconsin,7380,,GLI Insured 272,P-300,,1
GLI5362566,GenLiab,Cancelled,2024-02-18,2025-02-17,Illinois,58483,6090.87,GLI Insured 273,P-400,GLI-UW2,3
GLI3029740,CommAuto,Non-Renewed,2022-03-30,2023-03-30,Wisconsin,7230,3212.84,GLI Insured 274,P-200,GLI-UW3,2
GLI9961899,WorkersComp,Active,2023-10-31,2024-10-30,Illinois,5183,15939.23,GLI Insured 275,P-100,GLI-UW2,2
GLI1397957,CommAuto,Active,2022-04-09,2023-04-09,Indiana,7230,9366.97,GLI Insured 276,P-100,GLI-UW2,2
GLI8357163,WorkersComp,Active,2023-12-10,2024-12-09,Wisconsin,8810,9579.78,GLI Insured 277,P-300,GLI-UW3,1
GLI9066612,CommAuto,Expired,2022-03-17,2023-03-17,Ohio,7220,816.15,GLI Insured 278,P-100,GLI-UW1,2
GLI2003047,CommAuto,Active,2023-10-17,2024-10-16,Illinois,7219,4375.91,GLI Insured 279,P-100,GLI-UW3,1
GLI5915104,GenLiab,Active,2022-10-11,2023-10-11,Wisconsin,58483,6513.1,GLI Insured 280,P-200,GLI-UW2,3
GLI7683988,GenLiab,Active,2021-07-04,2022-07-04,Michigan,91580,,GLI Insured 281,P-400,GLI-UW2,1
GLI1669519,WorkersComp,Active,2023-08-24,2024-08-23,Illinois,8742,9105.73,GLI Insured 282,P-100,GLI-UW3,2
GLI7096391,WorkersComp,Active,2022-03-14,2023-03-14,Illinois,5183,6945.25,GLI Insured 283,P-300,GLI-UW2,2
GLI7701313,GenLiab,Expired,2024-01-04,2025-01-03,Wisconsin,41677,9431.88,GLI Insured 284,P-500,GLI-UW3,2
GLI9582547,CommAuto,Non-Renewed,2021-03-13,2022-03-13,Illinois,7210,3261.35,GLI Insured 285,P-200,GLI-UW2,1
GLI8382743,GenLiab,Active,2021-08-10,2022-08-10,Michigan,41677,3137.24,GLI Insured 286,P-200,GLI-UW1,3
GLI8190522,WorkersComp,Expired,2022-02-24,2023-02-24,Michigan,8810,,GLI Insured 287,P-500,GLI-UW3,3
GLI3081328,GenLiab,Expired,2022-04-09,2023-04-09,Illinois,97047,3373.07,GLI Insured 288,P-400,,4
GLI2738505,CommAuto,Active,2022-08-22,2023-08-22,Michigan,7210,1058.43,GLI Insured 289,P-500,GLI-UW2,1
GLI3449200,WorkersComp,Cancelled,2021-12-20,2022-12-20,Minnesota,8810,10455.91,GLI Insured 290,P-200,GLI-UW3,4
GLI5404004,WorkersComp,Active,2022-03-23,2023-03-23,Ohio,9015,9840.4,GLI Insured 291,,GLI-UW2,1
GLI2875419,GenLiab,Expired,2021-11-09,2022-11-09,Illinois,97047,9481.86,GLI Insured 292,P-100,GLI-UW3,1
GLI3834568,CommAuto,Expired,2021-08-03,2022-08-03,Illinois,7219,1955.16,GLI Insured 293,,GLI-UW1,1
GLI7148254,GenLiab,Expired,2022-03-21,2023-03-21,Michigan,91580,1718.2,GLI Insured 294,,GLI-UW1,1
GLI7927195,GenLiab,Active,2022-03-19,2023-03-19,Illinois,58483,28168.83,GLI Insured 295,P-300,GLI-UW1,3
GLI6701478,WorkersComp,Expired,2022-12-19,2023-12-19,Illinois,9015,7549.45,GLI Insured 296,P-300,,1
GLI3381527,CommAuto,Expired,2022-06-10,2023-06-10,Wisconsin,7230,6567.36,GLI Insured 297,P-500,GLI-UW2,3
GLI5078015,WorkersComp,Expired,2022-01-27,2023-01-27,Illinois,7380,9132.73,GLI Insured 298,P-200,GLI-UW2,1
GLI9096533,CommAuto,Cancelled,2023-05-18,2024-05-17,Michigan,7219,6778.16,GLI Insured 299,P-300,GLI-UW3,2
GLI4524641,WorkersComp,Expired,2022-10-29,2023-10-29,Michigan,7380,9949.06,GLI Insured 300,,GLI-UW1,5
GLI5437702,CommAuto,Active,2023-06-23,2024-06-22,Illinois,7220,2295.24,GLI Insured 301,P-100,GLI-UW2,2
GLI2629498,CommAuto,Active,2024-01-02,2025-01-01,Michigan,7210,5879.78,GLI Insured 302,,GLI-UW3,3
GLI6536912,WorkersComp,Expired,2022-10-06,2023-10-06,Michigan,9015,10652.39,GLI Insured 303,P-400,GLI-UW2,1
GLI2242680,WorkersComp,Expired,2022-05-21,2023-05-21,Michigan,8017,1782.74,GLI Insured 304,P-500,GLI-UW1,1
GLI8688025,CommAuto,Active,2023-07-22,2024-07-21,Minnesota,7230,4945.22,GLI Insured 305,P-100,GLI-UW3,2
GLI9247292,GenLiab,Active,2022-07-27,2023-07-27,Minnesota,58483,3985.07,GLI Insured 306,P-100,GLI-UW2,4
GLI5105861,CommAuto,Active,2023-02-05,2024-02-05,Michigan,7220,2523.16,GLI Insured 307,,GLI-UW1,1
GLI5362068,GenLiab,Expired,2022-07-07,2023-07-07,Ohio,41677,11852.26,GLI Insured 308,P-100,GLI-UW1,3
GLI6745238,WorkersComp,Expired,2024-02-20,2025-02-19,Illinois,8017,7595.64,GLI Insured 309,P-400,GLI-UW1,5
GLI5954178,WorkersComp,Expired,2021-03-15,2022-03-15,Michigan,5183,7806.58,GLI Insured 310,P-500,GLI-UW2,5
GLI8460359,CommAuto,Active,2022-07-29,2023-07-29,Indiana,7219,4283.28,GLI Insured 311,P-200,GLI-UW1,6
GLI6547574,GenLiab,Active,2022-09-28,2023-09-28,Michigan,97047,5292.86,GLI Insured 312,P-400,GLI-UW2,4
GLI8556058,CommAuto,Expired,2022-01-25,2023-01-25,Illinois,7220,3757.72,GLI Insured 313,P-100,GLI-UW3,1
GLI5327209,CommAuto,Active,2021-07-11,2022-07-11,Illinois,7210,11150.71,GLI Insured 314,P-300,GLI-UW3,5
GLI5618750,GenLiab,Active,2021-07-05,2022-07-05,Wisconsin,41677,3141.97,GLI Insured 315,P-200,GLI-UW3,5
GLI1599695,WorkersComp,Expired,2021-07-07,2022-07-07,Michigan,8810,1697.45,GLI Insured 316,P-400,GLI-UW3,3
GLI3349162,WorkersComp,Cancelled,2023-12-07,2024-12-06,Minnesota,8742,8435.5,GLI Insured 317,P-500,GLI-UW2,1
GLI3483430,WorkersComp,Active,2023-02-03,2024-02-03,Illinois,8017,3479.08,GLI Insured 318,P-100,GLI-UW2,2
GLI9754003,WorkersComp,Non-Renewed,2021-07-02,2022-07-02,Minnesota,8017,3019.73,GLI Insured 319,P-300,,1
GLI5839059,GenLiab,Active,2023-07-29,2024-07-28,Illinois,97047,5363.72,GLI Insured 320,P-300,,2
GLI1435209,CommAuto,Active,2021-08-11,2022-08-11,Minnesota,7220,4876.95,GLI Insured 321,P-200,GLI-UW3,3
GLI4708126,CommAuto,Active,2023-08-31,2024-08-30,Ohio,7230,3563.24,GLI Insured 322,P-300,GLI-UW2,3
GLI7221849,GenLiab,Expired,2021-03-25,2022-03-25,Illinois,97047,3769.19,GLI Insured 323,P-500,GLI-UW3,4
GLI7085502,GenLiab,Active,2021-08-28,2022-08-28,Wisconsin,91580,4626.7,GLI Insured 324,,GLI-UW1,2
GLI5885832,CommAuto,Expired,2022-12-13,2023-12-13,Illinois,7220,3882.93,GLI Insured 325,P-100,,2
GLI6144946,GenLiab,Active,2023-03-11,2024-03-10,Minnesota,91580,5420.02,GLI Insured 326,P-400,GLI-UW2,5
GLI3655874,WorkersComp,Active,2021-07-13,2022-07-13,Wisconsin,8742,1614.86,GLI Insured 327,P-400,GLI-UW2,3
GLI6112711,GenLiab,Active,2022-08-20,2023-08-20,Indiana,58483,10928.33,GLI Insured 328,,GLI-UW1,3
GLI8973956,WorkersComp,Expired,2022-12-14,2023-12-14,Illinois,5191,2182.34,GLI Insured 329,P-100,GLI-UW1,3
GLI8379665,CommAuto,Expired,2023-09-10,2024-09-09,Minnesota,7219,,GLI Insured 330,P-500,GLI-UW1,3
GLI5947259,WorkersComp,Expired,2023-03-04,2024-03-03,Wisconsin,7380,2000.63,GLI Insured 331,,GLI-UW1,5
GLI3591094,GenLiab,Expired,2023-11-09,2024-11-08,Wisconsin,97047,6209.37,GLI Insured 332,,GLI-UW2,2
GLI3156762,WorkersComp,Expired,2023-03-29,2024-03-28,Wisconsin,5191,4274.7,GLI Insured 333,P-300,GLI-UW1,2
GLI3458300,CommAuto,Expired,2023-12-19,2024-12-18,Michigan,7219,3538.02,GLI Insured 334,P-200,,2
GLI5904531,CommAuto,Non-Renewed,2022-11-05,2023-11-05,Illinois,7219,2392.22,GLI Insured 335,P-400,GLI-UW2,4
GLI7446253,CommAuto,Expired,2023-11-27,2024-11-26,Michigan,7220,1923.93,GLI Insured 336,P-200,GLI-UW2,4
GLI5316874,GenLiab,Expired,2022-12-02,2023-12-02,Illinois,41677,729.24,GLI Insured 337,P-300,GLI-UW2,2
GLI4823830,GenLiab,Expired,2022-03-25,2023-03-25,Michigan,41677,3384.14,GLI Insured 338,P-300,GLI-UW1,1
GLI1469840,GenLiab,Expired,2022-06-11,2023-06-11,Michigan,58483,2063.03,GLI Insured 339,P-200,,2
GLI4551099,WorkersComp,Active,2022-02-13,2023-02-13,Illinois,8810,12934.18,GLI Insured 340,P-200,GLI-UW2,6
GLI6082767,WorkersComp,Expired,2021-05-27,2022-05-27,Wisconsin,7380,52723.33,GLI Insured 341,P-100,GLI-UW1,1
GLI3489124,WorkersComp,Active,2023-02-21,2024-02-21,Indiana,7380,42063.4,GLI Insured 342,P-200,GLI-UW1,2
GLI1202445,GenLiab,Active,2023-06-18,2024-06-17,Illinois,97047,5090.33,GLI Insured 343,P-300,GLI-UW2,1
GLI5352365,CommAuto,Expired,2023-10-09,2024-10-08,Wisconsin,7220,2312.84,GLI Insured 344,P-100,GLI-UW2,5
GLI7109621,WorkersComp,Active,2023-10-02,2024-10-01,Indiana,8810,1401.27,GLI Insured 345,P-500,GLI-UW2,3
GLI9532750,CommAuto,Cancelled,2022-12-25,2023-12-25,Illinois,7210,3001.49,GLI Insured 346,P-300,GLI-UW2,3
GLI9670766,CommAuto,Expired,2023-06-04,2024-06-03,Michigan,7230,2124.92,GLI Insured 347,P-500,GLI-UW3,1
GLI7808943,WorkersComp,Expired,2023-10-06,2024-10-05,Illinois,8810,4173.27,GLI Insured 348,P-100,GLI-UW3,3
GLI9002301,GenLiab,Active,2023-10-08,2024-10-07,Illinois,91580,1471.83,GLI Insured 349,P-500,GLI-UW2,2
GLI3859007,WorkersComp,Expired,2023-09-13,2024-09-12,Indiana,9015,15252.12,GLI Insured 350,,GLI-UW3,2
GLI6774944,CommAuto,Active,2022-01-07,2023-01-07,Wisconsin,7219,,GLI Insured 351,P-200,GLI-UW1,2
GLI3615179,CommAuto,Active,2021-12-16,2022-12-16,Wisconsin,7210,2120.0,GLI Insured 352,P-200,GLI-UW2,3
GLI9406983,WorkersComp,Non-Renewed,2023-04-29,2024-04-28,Indiana,8017,17505.47,GLI Insured 353,P-400,GLI-UW1,4
GLI6273015,GenLiab,Active,2023-07-08,2024-07-07,Illinois,97047,5696.99,GLI Insured 354,P-400,GLI-UW1,1
GLI9780144,WorkersComp,Expired,2021-04-20,2022-04-20,Michigan,7380,13058.59,GLI Insured 355,P-100,GLI-UW2,1
GLI7280761,WorkersComp,Cancelled,2021-12-11,2022-12-11,Minnesota,8810,16263.82,GLI Insured 356,,GLI-UW3,4
GLI7341430,GenLiab,Non-Renewed,2022-12-09,2023-12-09,Michigan,97047,7273.49,GLI Insured 357,P-300,GLI-UW1,3
GLI9141073,WorkersComp,Expired,2023-04-21,2024-04-20,Illinois,7380,3871.71,GLI Insured 358,P-500,GLI-UW1,1
GLI3837377,WorkersComp,Expired,2021-12-31,2022-12-31,Michigan,8810,20834.69,GLI Insured 359,P-200,,1
GLI9812012,WorkersComp,Non-Renewed,2023-05-28,2024-05-27,Illinois,5191,16243.81,GLI Insured 360,P-200,GLI-UW2,3
GLI9087498,CommAuto,Cancelled,2023-03-19,2024-03-18,Wisconsin,7220,6982.41,GLI Insured 361,P-100,GLI-UW1,1
GLI3942511,WorkersComp,Expired,2021-03-29,2022-03-29,Ohio,5183,2449.45,GLI Insured 362,P-200,GLI-UW1,6
GLI9120146,CommAuto,Expired,2023-08-07,2024-08-06,Illinois,7220,1441.06,GLI Insured 363,,GLI-UW3,3
GLI7373200,WorkersComp,Active,2022-02-17,2023-02-17,Illinois,9015,31620.54,GLI Insured 364,P-400,GLI-UW2,4
GLI1238783,WorkersComp,Active,2022-01-04,2023-01-04,Wisconsin,5191,4562.91,GLI Insured 365,P-500,GLI-UW1,4
GLI2086368,CommAuto,Active,2022-03-12,2023-03-12,Minnesota,7219,4801.6,GLI Insured 366,,GLI-UW3,3
GLI6743965,WorkersComp,Expired,2022-05-19,2023-05-19,Wisconsin,9015,23998.17,GLI Insured 367,P-100,GLI-UW2,2
GLI4771940,CommAuto,Active,2021-09-11,2022-09-11,Illinois,7219,12620.5,GLI Insured 368,P-100,GLI-UW2,2
GLI6189331,CommAuto,Expired,2021-04-03,2022-04-03,Michigan,7219,6014.31,GLI Insured 369,,,4
GLI4463308,GenLiab,Expired,2023-05-11,2024-05-10,Michigan,58483,3577.12,GLI Insured 370,P-300,GLI-UW1,3
GLI4763297,WorkersComp,Active,2023-10-24,2024-10-23,Wisconsin,8742,6260.54,GLI Insured 371,P-400,,1
GLI3518067,CommAuto,Active,2022-01-01,2023-01-01,Minnesota,7230,5216.01,GLI Insured 372,P-300,GLI-UW3,3
GLI5669360,WorkersComp,Expired,2022-09-06,2023-09-06,Wisconsin,8742,9484.36,GLI Insured 373,P-500,GLI-UW2,2
GLI3006411,GenLiab,Cancelled,2023-01-20,2024-01-20,Wisconsin,58483,3063.17,GLI Insured 374,P-300,,1
GLI4304141,GenLiab,Expired,2022-04-10,2023-04-10,Illinois,91580,650.3,GLI Insured 375,P-500,GLI-UW3,2
GLI6981102,GenLiab,Active,2021-04-14,2022-04-14,Indiana,97047,3014.79,GLI Insured 376,,,1
GLI9368311,WorkersComp,Expired,2023-12-14,2024-12-13,Wisconsin,8810,6689.58,GLI Insured 377,P-400,GLI-UW2,4
GLI8706139,WorkersComp,Cancelled,2023-05-13,2024-05-12,Ohio,5191,8033.13,GLI Insured 378,P-300,GLI-UW1,1
GLI1204695,CommAuto,Expired,2022-01-19,2023-01-19,Minnesota,7210,13288.97,GLI Insured 379,P-200,GLI-UW2,2
GLI9793246,WorkersComp,Active,2022-11-12,2023-11-12,Illinois,7380,21171.3,GLI Insured 380,P-100,GLI-UW1,3
GLI4831434,GenLiab,Active,2022-09-20,2023-09-20,Minnesota,91580,3754.44,GLI Insured 381,P-400,GLI-UW1,5
GLI4397889,WorkersComp,Active,2022-06-10,2023-06-10,Wisconsin,8810,12751.15,GLI Insured 382,P-100,GLI-UW3,2
GLI7099530,CommAuto,Active,2022-03-25,2023-03-25,Wisconsin,7210,623.17,GLI Insured 383,,,3
GLI1550972,GenLiab,Active,2023-11-22,2024-11-21,Indiana,58483,14485.13,GLI Insured 384,P-400,GLI-UW2,2
GLI7685573,WorkersComp,Expired,2023-12-18,2024-12-17,Indiana,8742,5183.71,GLI Insured 385,,GLI-UW3,1
GLI2658260,CommAuto,Expired,2023-08-04,2024-08-03,Indiana,7220,4587.21,GLI Insured 386,P-200,GLI-UW1,2
GLI6528345,WorkersComp,Expired,2023-08-09,2024-08-08,Michigan,9015,8323.48,GLI Insured 387,,GLI-UW3,3
GLI9513036,WorkersComp,Active,2022-01-22,2023-01-22,Minnesota,8017,20406.49,GLI Insured 388,P-400,GLI-UW3,3
GLI2127390,WorkersComp,Active,2023-11-24,2024-11-23,Indiana,5183,5920.59,GLI Insured 389,P-500,GLI-UW1,2
GLI5554570,WorkersComp,Expired,2021-07-01,2022-07-01,Wisconsin,7380,16993.71,GLI Insured 390,P-100,GLI-UW1,1
GLI9971681,WorkersComp,Non-Renewed,2023-02-22,2024-02-22,Minnesota,9015,11250.88,GLI Insured 391,P-300,GLI-UW3,1
GLI2332904,CommAuto,Active,2021-10-04,2022-10-04,Minnesota,7219,4384.39,GLI Insured 392,P-300,GLI-UW2,4
GLI1939101,GenLiab,Active,2021-07-16,2022-07-16,Wisconsin,58483,4981.72,GLI Insured 393,P-200,GLI-UW2,3
GLI8493255,WorkersComp,Active,2022-12-23,2023-12-23,Indiana,7380,5123.33,GLI Insured 394,P-200,,3
GLI9773624,GenLiab,Expired,2023-11-02,2024-11-01,Ohio,91580,4756.87,GLI Insured 395,,,2
GLI5160278,GenLiab,Non-Renewed,2022-10-14,2023-10-14,Ohio,91580,4000.54,GLI Insured 396,P-100,GLI-UW3,2
GLI5105254,GenLiab,Expired,2021-12-15,2022-12-15,Illinois,91580,7593.52,GLI Insured 397,P-100,GLI-UW3,1
GLI5296176,CommAuto,Cancelled,2022-06-25,2023-06-25,Michigan,7230,1818.7,GLI Insured 398,P-200,GLI-UW1,1
GLI4064939,WorkersComp,Active,2024-01-27,2025-01-26,Minnesota,8017,8646.19,GLI Insured 399,,GLI-UW1,1
GLI5111878,GenLiab,Active,2023-12-08,2024-12-07,Illinois,97047,,GLI Insured 400,P-300,,6
GLI4830908,GenLiab,Cancelled,2022-05-18,2023-05-18,Indiana,58483,3820.25,GLI Insured 401,P-200,GLI-UW3,4
GLI8651518,WorkersComp,Active,2023-07-01,2024-06-30,Michigan,8810,12021.92,GLI Insured 402,P-300,GLI-UW3,3
GLI3976792,GenLiab,Active,2023-11-30,2024-11-29,Illinois,41677,846.72,GLI Insured 403,P-500,GLI-UW1,1
GLI1674994,WorkersComp,Non-Renewed,2021-03-27,2022-03-27,Illinois,5183,1953.42,GLI Insured 404,P-100,,2
GLI5458768,GenLiab,Active,2022-11-21,2023-11-21,Indiana,58483,4883.4,GLI Insured 405,P-100,GLI-UW1,2
GLI5655284,WorkersComp,Active,2022-01-19,2023-01-19,Wisconsin,8810,7572.19,GLI Insured 406,P-100,GLI-UW1,2
GLI2532752,CommAuto,Active,2023-01-23,2024-01-23,Wisconsin,7230,,GLI Insured 407,P-300,GLI-UW1,2
GLI4187908,CommAuto,Expired,2022-11-27,2023-11-27,Michigan,7219,18649.15,GLI Insured 408,P-300,GLI-UW3,5
GLI2068187,WorkersComp,Active,2023-07-27,2024-07-26,Michigan,8017,4795.22,GLI Insured 409,P-400,GLI-UW3,3
GLI3223802,WorkersComp,Active,2021-11-05,2022-11-05,Illinois,5191,8742.68,GLI Insured 410,P-400,GLI-UW2,1
GLI9767063,GenLiab,Expired,2021-11-21,2022-11-21,Indiana,97047,3062.22,GLI Insured 411,P-100,GLI-UW1,2
GLI6079484,CommAuto,Cancelled,2024-02-18,2025-02-17,Indiana,7210,6740.06,GLI Insured 412,P-200,,1
GLI2021147,CommAuto,Active,2022-09-29,2023-09-29,Illinois,7219,1798.57,GLI Insured 413,P-200,,1
GLI4485165,CommAuto,Expired,2023-01-28,2024-01-28,Michigan,7230,2466.85,GLI Insured 414,P-100,GLI-UW1,6
GLI4818263,GenLiab,Expired,2023-04-04,2024-04-03,Michigan,91580,,GLI Insured 415,P-200,GLI-UW3,3
GLI5092644,WorkersComp,Active,2021-11-18,2022-11-18,Illinois,8810,,GLI Insured 416,P-400,,1
GLI9007468,GenLiab,Active,2023-03-27,2024-03-26,Ohio,58483,6007.65,GLI Insured 417,P-200,GLI-UW2,2
GLI8789179,WorkersComp,Expired,2023-10-26,2024-10-25,Michigan,7380,10458.24,GLI Insured 418,P-500,GLI-UW1,2
